user_id,model_id,target,total_qty,interaction_weight,cf_score,msrp,tco_fuel,vat_included,warranty,brand_status,offroad_capability,sentiment_score,visual_vector,hp,weight,engine_cap,seats,length,width,height,trans_5_manual,trans_5_manual_4_auto,trans_5_manual_6_auto,trans_5_manual_cvt,trans_6_dct,trans_6_dct_5_manual,trans_6_dct_6_manual,trans_6_dct_7_dct,trans_6_auto,trans_6_auto_7_dct,trans_6_auto_8_auto,trans_6_manual,trans_6_manual_6_dct,trans_6_manual_6_auto,trans_6_manual_7_dct,trans_6_manual_8_auto,trans_6_manual_cvt,trans_7_dct,trans_7_dct_8_auto,trans_8_auto,trans_9_auto,trans_cvt,trans_cvt_5_manual,trans_cvt_6_dct,trans_cvt_6_manual,trans_cvt_7_dct,trans_reducer,fuel_petrol_92,fuel_petrol_95,fuel_petrol_diesel,fuel_hybrid_95,fuel_hybrid,fuel_diesel_petrol,fuel_electric,body_offroad,body_crossover,body_liftback,body_minivan,body_pickup,body_sedan,body_universal,body_hatchback,drive_awd,drive_fwd,drive_fwd_awd,drive_rwd,drive_rwd_awd,stock_status,segment,recency_score,stock_speed
Econ_Dealer_2,BAIC_BJ40,0,0,0.296,0.51,4338500.0,785652.2,1,1,2,1,0.33,[0.34630271 0.4047606  0.49152164 ... 0.58609136 0.16793811 0.31448613],218,2090,2.0,5,4645,1925,1871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,9,Standard,0.43708610696262623,0.8260432912402548
Econ_Dealer_2,BAIC_U5_Plus,1,8,4.31,0.765,2219000.0,500923.9,1,1,1,0,0.66,[0.2976177  0.38279215 0.16769254 ... 0.17885955 0.25188109 0.46071884],105,1255,1.5,5,4660,1820,1480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,10,Economy,0.9556428757689246,0.11488550436088896
Econ_Dealer_2,BAIC_X35,1,90,45.281,0.868,2303200.0,524945.7,1,1,1,0,0.66,[0.41359649 0.3248209  0.2687993  ... 0.363521   0.31740391 0.28746657],112,1340,1.5,5,4325,1830,1640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,10,Economy,0.7587945476302645,0.26812710837144865
Econ_Dealer_2,BAIC_X55,0,0,0.33,0.539,3711500.0,584293.5,1,1,2,0,0.6,[0.58354157 0.4594332  0.31879342 ... 0.18603426 0.82027137 0.32041022],177,1550,1.5,5,4620,1886,1680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,14,Standard,0.6387926357773329,0.6894147719060479
Econ_Dealer_2,Changan_CS35,0,0,0.16,0.534,2873500.0,514913.0,1,1,2,0,0.65,[0.11626545 0.30819854 0.39124161 ... 0.30596033 0.02723651 0.27652088],113,1270,1.6,5,4170,1810,1670,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,45,Standard,0.24041677639819287,0.4381834130235666
Econ_Dealer_2,Changan_CS35_Plus,0,0,0.269,0.552,2686000.0,540630.4,1,1,1,0,0.65,[0.16471187 0.3854471  0.23279019 ... 0.66688887 0.12303267 0.24704413],150,1430,1.4,5,4330,1825,1660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,55,Standard,0.2403950683025824,0.9842343859549963
Econ_Dealer_2,Changan_CS55,0,0,0.185,0.5,3299750.0,580054.3,1,1,2,0,0.62,[0.39462798 0.58130387 0.56059967 ... 0.26185874 0.21556749 0.41204766],143,1535,1.5,5,4500,1855,1690,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,44,Standard,0.15227525095137953,0.6988643133744287
Econ_Dealer_2,Changan_CS55_Plus,0,0,0.456,0.506,3755750.0,580054.3,1,1,2,0,0.62,[0.3782416  0.42494847 0.42124596 ... 0.28997857 0.26269735 0.5215422 ],181,1535,1.5,5,4515,1865,1680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,57,Standard,0.8795585311974417,0.9608940178562859
Econ_Dealer_2,Changan_CS55_Plus_(UNI_S),0,0,0.249,0.484,3755750.0,580054.3,1,1,2,0,0.62,[0.31104158 0.53375403 0.53400822 ... 0.17840349 0.28402802 0.47189843],181,1535,1.5,5,4515,1865,1680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,47,Standard,0.6410035105688879,0.28130183348121446
Econ_Dealer_2,Changan_CS95,0,0,0.397,0.533,4370000.0,794130.4,1,1,2,0,0.5,[0.11391582 0.08389567 0.66632257 ... 0.1857926  0.07441328 0.36587591],220,2120,2.0,7,4949,1930,1905,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,54,Standard,0.737265320016441,0.8775613253035208
Econ_Dealer_2,Changan_CS95_Plus,0,0,0.113,0.477,4533500.0,802608.7,1,1,2,0,0.5,[0.178578   0.37689444 0.67510408 ... 0.13706027 0.16950725 0.29615864],233,2150,2.0,7,4949,1940,1805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,64,Standard,0.1185260448662222,0.3892170752337028
